system:time_start,MVI
"Jan 5, 2019",2.71
"Jan 10, 2019",2.865
"Jan 15, 2019",-4.815
"Jan 20, 2019",2.612
"Jan 25, 2019",2.207
"Jan 30, 2019",2.133
"Feb 4, 2019",2.553
"Feb 9, 2019",2.091
"Feb 14, 2019",2.495
"Feb 19, 2019",2.361
"Feb 24, 2019",1.956
"Mar 1, 2019",1.675
"Mar 6, 2019",2.015
"Mar 11, 2019",0.449
"Mar 16, 2019",2.385
"Mar 21, 2019",2.329
"Mar 26, 2019",2.559
"Mar 31, 2019",0.965
"Apr 5, 2019",-0.157
"Apr 10, 2019",2.181
"Apr 15, 2019",2.218
"Apr 20, 2019",2.524
"Apr 25, 2019",0.537
"Apr 30, 2019",2.344
"May 5, 2019",-10.459
"May 10, 2019",2.248
"May 15, 2019",0.122
"May 20, 2019",0.24
"May 25, 2019",0.011
"May 30, 2019",3.039
"Jun 4, 2019",-3.239
"Jun 9, 2019",0.055
"Jun 14, 2019",3.298
"Jun 19, 2019",3.047
"Jun 24, 2019",4.115
"Jun 29, 2019",0.137
"Jul 4, 2019",-0.091
"Jul 9, 2019",0.079
"Jul 14, 2019",-20.432
"Jul 19, 2019",2.845
"Jul 24, 2019",9.641
"Jul 29, 2019",0.04
"Aug 3, 2019",-0.048
"Aug 8, 2019",0.221
"Aug 13, 2019",0.085
"Aug 18, 2019",0.03
"Aug 23, 2019",-0.289
"Aug 28, 2019",0.086
"Sep 2, 2019",0.276
"Sep 7, 2019",-12.518
"Sep 12, 2019",-0.063
"Sep 17, 2019",3.002
"Sep 22, 2019",0.171
"Sep 27, 2019",0.326
"Oct 2, 2019",-19.867
"Oct 7, 2019",0.118
"Oct 12, 2019",2.946
"Oct 17, 2019",3.233
"Oct 22, 2019",3.203
"Oct 27, 2019",2.559
"Nov 1, 2019",5.272
"Nov 6, 2019",-0.569
"Nov 11, 2019",1.444
"Nov 16, 2019",0.966
"Nov 21, 2019",1.145
"Dec 1, 2019",1.32
"Dec 6, 2019",1.138
"Dec 11, 2019",-0.493
"Dec 16, 2019",1.206
"Dec 21, 2019",2.061
"Dec 26, 2019",1.47
"Dec 31, 2019",1.414
"Jan 5, 2020",1.549
"Jan 10, 2020",1.421
"Jan 15, 2020",1.281
"Jan 20, 2020",-0.504
"Jan 25, 2020",1.175
"Jan 30, 2020",0.151
"Feb 4, 2020",1.071
"Feb 9, 2020",-0.09
"Feb 14, 2020",1.078
"Feb 19, 2020",15.506
"Feb 24, 2020",4.389
"Feb 29, 2020",1.27
"Mar 5, 2020",0.339
"Mar 10, 2020",1.335
"Mar 15, 2020",1.063
"Mar 20, 2020",1.492
"Mar 25, 2020",1.088
"Mar 30, 2020",1.197
"Apr 4, 2020",1.961
"Apr 9, 2020",1.544
"Apr 14, 2020",1.563
"Apr 19, 2020",1.683
"Apr 24, 2020",0.186
"Apr 29, 2020",1.903
"May 4, 2020",2.309
"May 9, 2020",2.102
"May 14, 2020",1.257
"May 19, 2020",-0.038
"May 24, 2020",0.842
"May 29, 2020",1.106
"Jun 3, 2020",0.146
"Jun 8, 2020",2.135
"Jun 13, 2020",-0.07
"Jun 18, 2020",-0.069
"Jun 23, 2020",1.87
"Jun 28, 2020",3.001
"Jul 3, 2020",4.808
"Jul 8, 2020",0.006
"Jul 13, 2020",-0.068
"Jul 18, 2020",0.422
"Jul 23, 2020",0.052
"Jul 28, 2020",0.052
"Aug 2, 2020",0.468
"Aug 7, 2020",0.022
"Aug 12, 2020",10.698
"Aug 17, 2020",0.04
"Aug 22, 2020",0.044
"Aug 27, 2020",0.129
"Sep 1, 2020",-0.049
"Sep 6, 2020",15.923
"Sep 11, 2020",2.235
"Sep 16, 2020",2.232
"Sep 21, 2020",8.882
"Sep 26, 2020",0.188
"Oct 1, 2020",0.127
"Oct 11, 2020",3.08
"Oct 16, 2020",2.235
"Oct 21, 2020",0.135
"Oct 26, 2020",2.376
"Oct 31, 2020",2.396
"Nov 5, 2020",2.656
"Nov 10, 2020",2.137
"Nov 15, 2020",2.247
"Nov 20, 2020",-1.164
"Nov 25, 2020",-0.533
"Nov 30, 2020",2.467
"Dec 5, 2020",2.465
"Dec 10, 2020",2.933
"Dec 15, 2020",2.157
"Dec 20, 2020",2.135
"Dec 30, 2020",2.217
"Jan 4, 2021",2.001
"Jan 9, 2021",1.854
"Jan 14, 2021",-2.773
"Jan 19, 2021",-6.142
"Jan 24, 2021",3.437
"Jan 29, 2021",2.662
"Feb 3, 2021",2.82
"Feb 8, 2021",2.485
"Feb 13, 2021",2.696
"Feb 18, 2021",2.006
"Feb 23, 2021",1.934
"Feb 28, 2021",1.629
"Mar 5, 2021",2.136
"Mar 10, 2021",1.733
"Mar 15, 2021",1.714
"Mar 20, 2021",-0.486
"Mar 25, 2021",1.99
"Mar 30, 2021",0.795
"Apr 4, 2021",2.335
"Apr 9, 2021",4.396
"Apr 14, 2021",2.242
"Apr 19, 2021",1.746
"Apr 24, 2021",2.359
"Apr 29, 2021",2.474
"May 4, 2021",-0.007
"May 9, 2021",1.268
"May 14, 2021",26.304
"May 19, 2021",2.462
"May 24, 2021",0.167
"May 29, 2021",4.85
"Jun 3, 2021",0.27
"Jun 8, 2021",0.082
"Jun 13, 2021",0.212
"Jun 18, 2021",-0.053
"Jun 23, 2021",0.2
"Jun 28, 2021",2.7
"Jul 3, 2021",5.087
"Jul 8, 2021",-0.052
"Jul 13, 2021",-0.214
"Jul 18, 2021",2.75
"Jul 23, 2021",-3.585
"Jul 28, 2021",-0.074
"Aug 2, 2021",0.156
"Aug 7, 2021",0.178
"Aug 12, 2021",-7.063
"Aug 17, 2021",-0.078
"Aug 22, 2021",7.529
"Aug 27, 2021",-23.981
"Sep 1, 2021",-6.865
"Sep 6, 2021",0.096
"Sep 11, 2021",0.097
"Sep 16, 2021",2.711
"Sep 21, 2021",0.038
"Sep 26, 2021",2.001
"Oct 1, 2021",2.017
"Oct 6, 2021",0.191
"Oct 11, 2021",0.121
"Oct 16, 2021",0.425
"Oct 21, 2021",2.756
"Oct 26, 2021",2.909
"Oct 31, 2021",0.199
"Nov 5, 2021",2.756
"Nov 10, 2021",2.487
"Nov 15, 2021",0.464
"Nov 20, 2021",8.688
"Nov 25, 2021",2.541
"Nov 30, 2021",2.557
"Dec 5, 2021",0.071
"Dec 10, 2021",2.477
"Dec 15, 2021",-0.1
"Dec 20, 2021",2.752
"Dec 25, 2021",2.381
"Dec 30, 2021",0.155
